soc_code,isco_code,isco_title
31-2012,5329,Personal care workers in health services not elsewhere classified
31-2021,3255,Physiotherapy technicians and assistants
31-2022,5329,Personal care workers in health services not elsewhere classified
31-9011,3255,Physiotherapy technicians and assistants
31-9091,3251,Dental assistants and therapists
31-9091,5329,Personal care workers in health services not elsewhere classified
31-9092,3256,Medical assistants
31-9093,5329,Personal care workers in health services not elsewhere classified
31-9094,3344,Medical secretaries
31-9095,5329,Personal care workers in health services not elsewhere classified
31-9096,3240,Veterinary technicians and assistants
31-9096,5164,Pet groomers and animal care workers
31-9097,5329,Personal care workers in health services not elsewhere classified
31-9099,3259,Health associate professionals not elsewhere classified
31-9099,5329,Personal care workers in health services not elsewhere classified
33-1011,5413,Prison guards
33-1012,3351,Customs and border inspectors
33-1012,3355,Police inspectors and detectives
33-1012,5412,Police officers
33-1021,3112,Civil engineering technicians
33-1021,3119,Physical and engineering science technicians not elsewhere classified
33-1021,5411,Fire-fighters
33-1099,5414,Security guards
33-1099,5419,Protective services workers not elsewhere classified
33-2011,5411,Fire-fighters
33-2021,3112,Civil engineering technicians
33-2021,3119,Physical and engineering science technicians not elsewhere classified
33-2022,3119,Physical and engineering science technicians not elsewhere classified
33-3011,3411,Legal and related associate professionals
33-3012,5413,Prison guards
33-3021,3355,Police inspectors and detectives
33-3031,5419,Protective services workers not elsewhere classified
33-3041,5419,Protective services workers not elsewhere classified
33-3051,3351,Customs and border inspectors
33-3051,5412,Police officers
33-3052,5412,Police officers
33-9011,5419,Protective services workers not elsewhere classified
33-9021,3411,Legal and related associate professionals
33-9031,3411,Legal and related associate professionals
33-9031,5414,Security guards
33-9032,5414,Security guards
33-9091,5419,Protective services workers not elsewhere classified
33-9092,5419,Protective services workers not elsewhere classified
33-9093,5414,Security guards
33-9099,5419,Protective services workers not elsewhere classified
35-1011,3434,Chefs
35-1012,3434,Chefs
35-1012,5120,Cooks
35-2011,9411,Fast food preparers
35-2012,5120,Cooks
35-2013,5120,Cooks
35-2014,5120,Cooks
35-2015,5120,Cooks
35-2015,9411,Fast food preparers
35-2019,5120,Cooks
35-2021,9412,Kitchen helpers
35-3011,5132,Bartenders
35-3021,5246,Food service counter attendants
35-3022,5246,Food service counter attendants
35-3031,5131,Waiters
35-3041,5212,Street food salespersons
35-3041,5131,Waiters
35-9011,5246,Food service counter attendants
35-9011,9412,Kitchen helpers
35-9021,9412,Kitchen helpers
35-9031,5169,Personal services workers not elsewhere classified
35-9099,9412,Kitchen helpers
37-1011,5151,"Cleaning and housekeeping supervisors in offices, hotels and other establishments"
37-1011,5152,Domestic housekeepers
37-1012,6113,"Gardeners, horticultural and nursery growers"
37-1012,7544,Fumigators and other pest and weed controllers
37-2011,5153,Building caretakers
37-2011,9112,"Cleaners and helpers in offices, hotels and other establishments"
37-2011,9123,Window cleaners
37-2012,9111,Domestic cleaners and helpers
37-2012,9112,"Cleaners and helpers in offices, hotels and other establishments"
37-2019,7133,Building structure cleaners
37-2019,9129,Other cleaning workers
37-2021,7544,Fumigators and other pest and weed controllers
37-3011,9214,Garden and horticultural labourers
37-3012,7544,Fumigators and other pest and weed controllers
37-3013,6113,"Gardeners, horticultural and nursery growers"
37-3019,9214,Garden and horticultural labourers
37-3019,9613,Sweepers and related labourers
37-3019,9622,Odd job persons
39-1011,4212,"Bookmakers, croupiers and related gaming workers"
39-1012,4212,"Bookmakers, croupiers and related gaming workers"
39-1021,3423,Fitness and recreation instructors and program leaders
39-1021,4414,Scribes and related workers
39-1021,5113,Travel guides
39-1021,5141,Hairdressers
39-1021,5142,Beauticians and related workers
39-1021,5162,Companions and valets
39-1021,5164,Pet groomers and animal care workers
39-1021,5169,Personal services workers not elsewhere classified
39-1021,5311,Child care workers
39-1021,5322,Home-based personal care workers
39-2011,5164,Pet groomers and animal care workers
39-2021,5164,Pet groomers and animal care workers
39-3011,4212,"Bookmakers, croupiers and related gaming workers"
39-3012,4212,"Bookmakers, croupiers and related gaming workers"
39-3019,4212,"Bookmakers, croupiers and related gaming workers"
39-3021,9629,Elementary workers not elsewhere classified
39-3031,9629,Elementary workers not elsewhere classified
39-3091,8343,"Crane, hoist and related plant operators"
39-3091,9629,Elementary workers not elsewhere classified
39-3092,3435,Other artistic and cultural associate professionals
39-3093,9629,Elementary workers not elsewhere classified
39-3099,3435,Other artistic and cultural associate professionals
39-4011,5163,Undertakers and embalmers
39-4021,5163,Undertakers and embalmers
39-4031,5163,Undertakers and embalmers
39-5011,5141,Hairdressers
39-5012,5141,Hairdressers
39-5012,5142,Beauticians and related workers
39-5091,5142,Beauticians and related workers
39-5092,5142,Beauticians and related workers
39-5093,5142,Beauticians and related workers
39-5094,5142,Beauticians and related workers
39-6011,9621,"Messengers, package deliverers and luggage porters"
39-6012,4224,Hotel receptionists
39-7011,5113,Travel guides
39-7012,5113,Travel guides
39-9011,5311,Child care workers
39-9021,5322,Home-based personal care workers
39-9021,4414,Scribes and related workers
39-9021,5162,Companions and valets
39-9031,3423,Fitness and recreation instructors and program leaders
39-9032,5169,Personal services workers not elsewhere classified
39-9041,5169,Personal services workers not elsewhere classified
39-9099,5162,Companions and valets
39-9099,5169,Personal services workers not elsewhere classified
39-9099,9510,Street and related service workers
39-9099,5152,Domestic housekeepers
41-1011,5222,Shop supervisors
41-1012,2433,Technical and medical sales professionals (excluding ICT)
41-1012,2434,Information and communications technology sales professionals
41-1012,3311,Securities and finance dealers and brokers
41-1012,3321,Insurance representatives
41-1012,3322,Commercial sales representatives
41-1012,3324,Trade brokers
41-1012,3334,Real estate agents and property managers
41-1012,3339,Business services agents not elsewhere classified
41-1012,4221,Travel consultants and clerks
41-2011,5230,Cashiers and ticket clerks
41-2012,5230,Cashiers and ticket clerks
41-2021,5249,Sales workers not elsewhere classified
41-2022,5223,Shop sales assistants
41-2031,5223,Shop sales assistants
41-3011,3339,Business services agents not elsewhere classified
41-3021,3321,Insurance representatives
41-3031,3311,Securities and finance dealers and brokers
41-3031,3324,Trade brokers
41-3041,3339,Business services agents not elsewhere classified
41-3041,4221,Travel consultants and clerks
41-3099,3322,Commercial sales representatives
41-4011,2433,Technical and medical sales professionals (excluding ICT)
41-4011,2434,Information and communications technology sales professionals
41-4011,3322,Commercial sales representatives
41-4012,3322,Commercial sales representatives
41-9011,5242,Sales demonstrators
41-9012,5241,Fashion and other models
41-9021,3334,Real estate agents and property managers
41-9022,3334,Real estate agents and property managers
41-9031,2434,Information and communications technology sales professionals
41-9041,5244,Contact centre salespersons
41-9091,5211,Stall and market salespersons
41-9091,5212,Street food salespersons
41-9091,5243,Door to door salespersons
41-9091,9520,Street vendors (excluding food)
41-9099,3339,Business services agents not elsewhere classified
41-9099,4213,Pawnbrokers and money-lenders
41-9099,5249,Sales workers not elsewhere classified
43-1011,3341,Office supervisors
43-2011,4223,Telephone switchboard operators
43-2021,4223,Telephone switchboard operators
43-2099,4229,Client information workers not elsewhere classified
43-3011,4214,Debt-collectors and related workers
43-3021,4311,Accounting and bookkeeping clerks
43-3031,3313,Accounting associate professionals
43-3031,4311,Accounting and bookkeeping clerks
43-3041,4212,"Bookmakers, croupiers and related gaming workers"
43-3051,4313,Payroll clerks
43-3061,4110,General office clerks
43-3071,4211,Bank tellers and related clerks
43-3099,4213,Pawnbrokers and money-lenders
43-3099,4312,"Statistical, finance and insurance clerks"
43-4011,4312,"Statistical, finance and insurance clerks"
43-4021,4225,Enquiry clerks
43-4021,4419,Clerical support workers not elsewhere classified
43-4031,3354,Government licensing officials
43-4041,4312,"Statistical, finance and insurance clerks"
43-4051,4222,Contact centre information clerks
43-4061,3353,Government social benefits officials
43-4061,4229,Client information workers not elsewhere classified
43-4071,4415,Filing and copying clerks
43-4081,4224,Hotel receptionists
43-4111,4227,Survey and market research interviewers
43-4121,4411,Library clerks
43-4131,4312,"Statistical, finance and insurance clerks"
43-4141,4312,"Statistical, finance and insurance clerks"
43-4151,4419,Clerical support workers not elsewhere classified
43-4161,4416,Personnel clerks
43-4171,4225,Enquiry clerks
43-4171,4226,Receptionists (general)
43-4171,4222,Contact centre information clerks
43-4181,4221,Travel consultants and clerks
43-4199,4229,Client information workers not elsewhere classified
43-4199,4419,Clerical support workers not elsewhere classified
43-5011,3324,Trade brokers
43-5011,3331,Clearing and forwarding agents
43-5021,4412,Mail carriers and sorting clerks
43-5021,8321,Motorcycle drivers
43-5021,9331,Hand and pedal vehicle drivers
43-5021,9621,"Messengers, package deliverers and luggage porters"
43-5031,5419,Protective services workers not elsewhere classified
43-5032,4323,Transport clerks
43-5041,9623,Meter readers and vending-machine collectors
43-5051,4412,Mail carriers and sorting clerks
43-5051,4211,Bank tellers and related clerks
43-5052,4412,Mail carriers and sorting clerks
43-5053,4412,Mail carriers and sorting clerks
43-5061,4322,Production clerks
43-5071,3331,Clearing and forwarding agents
43-5071,4321,Stock clerks
43-5081,4321,Stock clerks
43-5081,9334,Shelf fillers
43-5111,4321,Stock clerks
43-6011,3343,Administrative and executive secretaries
43-6012,3342,Legal secretaries
43-6013,3344,Medical secretaries
43-6014,4120,Secretaries (general)
43-9011,3511,Information and communications technology operations technicians
43-9021,4132,Data entry clerks
43-9022,4131,Typists and word processing operators
43-9031,7321,Pre-press technicians
43-9041,4312,"Statistical, finance and insurance clerks"
43-9051,4412,Mail carriers and sorting clerks
43-9061,4110,General office clerks
43-9071,4415,Filing and copying clerks
43-9081,4413,"Coding, proof-reading and related clerks"
43-9111,3314,"Statistical, mathematical and related associate professionals"
43-9199,4419,Clerical support workers not elsewhere classified
45-1011,6111,Field crop and vegetable growers
45-1011,6112,Tree and shrub crop growers
45-1011,6114,Mixed crop growers
45-1011,6121,Livestock and dairy producers
45-1011,6122,Poultry producers
45-1011,6123,Apiarists and sericulturists
45-1011,6129,Animal producers not elsewhere classified
45-1011,6130,Mixed crop and animal producers
45-1011,6210,Forestry and related workers
45-1011,6221,Aquaculture workers
45-1011,6222,Inland and coastal waters fishery workers
45-1011,6223,Deep-sea fishery workers
45-1011,6224,Hunters and trappers
45-2011,7515,Food and beverage tasters and graders
45-2011,3257,Environmental and occupational health inspectors and associates
45-2011,3359,Regulatory government associate professionals not elsewhere classified
45-2021,6121,Livestock and dairy producers
45-2021,6122,Poultry producers
45-2021,6123,Apiarists and sericulturists
45-2021,6129,Animal producers not elsewhere classified
45-2021,6130,Mixed crop and animal producers
45-2021,6221,Aquaculture workers
45-2041,7515,Food and beverage tasters and graders
45-2041,7516,Tobacco preparers and tobacco products makers
45-2041,7535,"Pelt dressers, tanners and fellmongers"
45-2091,6111,Field crop and vegetable growers
45-2091,6112,Tree and shrub crop growers
45-2091,6113,"Gardeners, horticultural and nursery growers"
45-2091,6114,Mixed crop growers
45-2091,6130,Mixed crop and animal producers
45-2091,8341,Mobile farm and forestry plant operators
45-2092,6310,Subsistence crop farmers
45-2092,6330,Subsistence mixed crop and livestock farmers
45-2092,9211,Crop farm labourers
45-2092,9213,Mixed crop and livestock farm labourers
45-2092,9214,Garden and horticultural labourers
45-2093,6320,Subsistence livestock farmers
45-2093,6330,Subsistence mixed crop and livestock farmers
45-2093,9212,Livestock farm labourers
45-2093,9213,Mixed crop and livestock farm labourers
45-2093,9216,Fishery and aquaculture labourers
45-2099,9211,Crop farm labourers
